manufacturer,model,serial_number,manufactured_date,device_type
Philips,INTELLIVUE MP20,DE54011343,1954-01-01,Patient Monitor
Philips,INTELLIVUE MP20,DE54011333,1954-01-01,Patient Monitor
Philips,INTELLIVUE MP20,DE54011319,1954-01-01,Patient Monitor
Philips,INTELLIVUE MP20,DE54011330,1954-01-01,Patient Monitor
Philips,INTELLIVUE MP20,DE62229313,1962-01-01,Patient Monitor
Philips,INTELLIVUE MP20,DE62223081,1962-01-01,Patient Monitor
Philips,INTELLIVUE MP20,DE62229345,1962-01-01,Patient Monitor
PHILIPS,MX500,DE671R3701,1967-01-01,Patient Monitor
PHILIPS,MX500,DE671R3663,1967-01-01,Patient Monitor
PHILIPS,MX500,DE671R3664,1967-01-01,Patient Monitor
PHILIPS,MX500,DE671R3705,1967-01-01,Patient Monitor
PHILIPS,MX500,DE671R3760,1967-01-01,Patient Monitor
PHILIPS,MX500,DE671R3685,1967-01-01,Patient Monitor
PHILIPS,MX500,DE671R3691,1967-01-01,Patient Monitor
PHILIPS,MX500,DE671T5134,1967-01-01,Patient Monitor
PHILIPS,MX500,DE671T5131,1967-01-01,Patient Monitor
PHILIPS,MX500,DE671T4113,1967-01-01,Patient Monitor
PHILIPS,MX500,DE671T5132,1967-01-01,Patient Monitor
PHILIPS,MX500,DE671T5133,1967-01-01,Patient Monitor
Philips,INTELLIVUE MP20,DE72870252,1972-01-01,Patient Monitor
Philips,INTELLIVUE MP20,DE72832824,1972-01-01,Patient Monitor
Philips,INTELLIVUE MP20,DE72870263,1972-01-01,Patient Monitor
Philips,INTELLIVUE MP20,DE72856013,1972-01-01,Patient Monitor
Philips,INTELLIVUE MP20,DE72856005,1972-01-01,Patient Monitor
Philips,INTELLIVUE MP30,DE728A5916,1972-01-01,Patient Monitor
Philips,M3002A,DE73608832,1973-01-01,Patient Monitor Module
Welch Allyn,SURETEMPPLUS,7432348,1974-01-01,Thermometer
Welch Allyn,SURETEMPPLUS,747969,1974-01-01,Thermometer
Welch Allyn,SURETEMPPLUS,7445105,1974-01-01,Thermometer
Olympus,CV190,7500545,1975-01-01,Endoscopy System
Olympus,CV190,7500311,1975-01-01,Endoscopy System
Olympus,CV190,7500445,1975-01-01,Endoscopy System
Olympus,CV190,75500364,1975-01-01,Endoscopy System
Olympus,CV190,7500389,1975-01-01,Endoscopy System
